"Date","Andalusia","Balearic Islands","Canary Islands","Catalonia","Valencia","Madrid","Rest of regions","Spain"
"95","2008-11-01",-0.179,-0.112,-0.035,-0.104,-0.194,-0.163,-0.139,-0.036
"96","2008-12-01",-0.212,0.023,-0.108,-0.141,-0.212,0.066,-0.199,-0.078
"97","2009-01-01",-0.18,0.048,-0.073,-0.113,-0.229,-0.19,-0.151,0.019
"98","2009-02-01",-0.152,-0.169,-0.175,-0.126,-0.25,-0.101,-0.15,-0.062
"99","2009-03-01",-0.235,-0.188,-0.204,-0.216,-0.344,-0.05,-0.158,-0.126
"100","2009-04-01",-0.004,0.05,-0.076,-0.026,-0.051,0.124,-0.076,-0.045
"101","2009-05-01",-0.067,-0.116,-0.188,-0.137,-0.114,0.012,-0.169,-0.098
"102","2009-06-01",-0.078,-0.073,-0.212,-0.156,-0.142,0.076,0.027,-0.079
"103","2009-07-01",-0.077,-0.053,-0.093,-0.101,-0.003,0.063,-0.001,0.013
"104","2009-08-01",0,-0.123,-0.134,-0.113,-0.048,-0.034,-0.051,0.005
"105","2009-09-01",-0.14,-0.126,-0.135,-0.11,-0.124,0.07,0.034,-0.04
"106","2009-10-01",-0.041,-0.13,-0.076,-0.044,-0.027,0.276,-0.054,0.105
"107","2009-11-01",0.077,-0.186,-0.067,-0.086,-0.006,0.156,-0.052,0.033
"108","2009-12-01",0.246,-0.3,-0.05,-0.157,-0.039,0.087,-0.002,0.055
"109","2010-01-01",0.11,-0.314,0.016,0,-0.025,0.062,0.068,0.041
"110","2010-02-01",0.045,-0.188,0.024,-0.079,0.031,-0.117,-0.08,0.039
"111","2010-03-01",0.098,0.02,0.049,0.04,0.06,-0.098,0.003,0.143
"112","2010-04-01",-0.129,-0.204,-0.129,-0.073,-0.191,-0.191,-0.097,0.062
"113","2010-05-01",0.065,-0.054,0.108,0.024,-0.052,0.021,0.007,-0.049
"114","2010-06-01",-0.002,-0.004,0.159,0.025,0.081,-0.055,-0.077,0.094
"115","2010-07-01",0.027,0.094,0.058,0.122,0.004,-0.063,-0.114,0.007
"116","2010-08-01",-0.052,0.111,0.079,0.066,-0.013,0.002,-0.006,0.013
"117","2010-09-01",0.053,0.096,0.129,0.087,0.013,-0.081,-0.158,0.141
"118","2010-10-01",0.002,0.077,0.097,0.053,-0.014,0.019,0.025,0.026
"119","2010-11-01",0.018,-0.194,0.047,0.084,0.006,0,0.006,-0.02
"120","2010-12-01",-0.231,-0.183,0.024,-0.038,-0.072,0.087,-0.063,-0.052
"121","2011-01-01",-0.044,0.069,0.088,0.01,0.196,0.064,-0.066,0.071
"122","2011-02-01",-0.015,-0.087,0.185,-0.057,-0.051,-0.029,-0.004,0.079
"123","2011-03-01",0.006,-0.198,0.182,-0.11,-0.048,-0.066,0.014,-0.002
"124","2011-04-01",0.26,0.32,0.527,-0.059,0.239,-0.015,0.177,0.083
"125","2011-05-01",-0.036,0.101,0.13,-0.026,0.025,-0.123,0.033,0.096
"126","2011-06-01",0.148,0.126,0.139,0.06,-0.004,-0.119,0.147,0.138
"127","2011-07-01",0.022,0.131,0.196,0.005,0.057,-0.244,0.144,0.065
"128","2011-08-01",-0.046,0.089,0.161,-0.031,0.105,0.407,0.166,0.012
"129","2011-09-01",0.125,0.105,0.209,0.094,0.065,-0.044,0.191,0.036
"130","2011-10-01",0.113,0.06,0.169,0.075,0.096,-0.075,0.249,0.021
"131","2011-11-01",-0.099,0.086,0.133,-0.004,0.054,-0.014,0.021,-0.009
"132","2011-12-01",0.013,-0.243,0.172,-0.023,0.002,-0.038,-0.019,-0.002
"133","2012-01-01",-0.127,-0.238,0.085,0.119,-0.142,0.122,0.384,-0.077
"134","2012-02-01",-0.108,-0.117,0.024,0.052,-0.103,0.092,0.067,-0.066
